station_abbr,reference_timestamp,tre200h0,tre200hn,tre200hx,tre005h0,tre005hn,ure200h0,pva200h0,tde200h0,prestah0,pp0qffh0,pp0qnhh0,ppz700h0,ppz850h0,fkl010h1,dkl010h0,fkl010h0,fu3010h0,fu3010h1,fkl010h3,fu3010h3,wcc006h0,fve010h0,rre150h0,htoauths,gre000h0,oli000h0,olo000h0,osr000h0,ods000h0,sre000h0,erefaoh0,timestamp,year,month,month_str
MAH,01.06.2025 00:00,17.3,16.8,17.6,,,90.8,17.9,15.8,968.7,1019.2,1020.3,,,2.6,172,1.1,4.0,9.4,2.6,9.4,,,0.0,,2,,,,1,0,-0.002,2025-06-01 00:00:00,2025,6,June
MAH,01.06.2025 01:00,16.7,16.2,17.6,,,91.2,17.3,15.3,968.3,1018.9,1019.9,,,1.5,45,0.6,2.2,5.4,1.5,5.4,,,0.0,,3,,,,2,0,-0.005,2025-06-01 01:00:00,2025,6,June
MAH,01.06.2025 02:00,15.6,15.3,15.8,,,99.1,17.5,15.4,968.2,1019.0,1019.8,,,2.7,349,1.3,4.7,9.7,2.6,9.4,,,0.0,,3,,,,2,0,-0.006,2025-06-01 02:00:00,2025,6,June
MAH,01.06.2025 03:00,15.0,14.3,15.6,,,99.2,17.0,14.9,968.4,1019.3,1020.0,,,1.8,204,1.1,4.0,6.5,1.8,6.5,,,0.0,,3,,,,2,0,-0.006,2025-06-01 03:00:00,2025,6,June
MAH,01.06.2025 04:00,13.9,13.4,14.8,,,99.3,15.8,13.8,968.5,1019.7,1020.1,,,2.1,221,1.1,4.0,7.6,2.0,7.2,,,0.0,,6,,,,4,0,-0.005,2025-06-01 04:00:00,2025,6,June
MAH,01.06.2025 05:00,14.0,13.5,14.6,,,99.3,15.9,13.9,968.5,1019.6,1020.1,,,1.8,218,1.2,4.3,6.5,1.7,6.1,,,0.0,,72,,,,48,16,0.02,2025-06-01 05:00:00,2025,6,June
MAH,01.06.2025 06:00,15.9,14.7,17.0,,,96.6,17.4,15.3,968.5,1019.2,1020.1,,,2.1,218,1.2,4.3,7.6,2.1,7.6,,,0.0,,190,,,,84,51,0.091,2025-06-01 06:00:00,2025,6,June
MAH,01.06.2025 07:00,18.3,17.4,19.4,,,84.1,17.7,15.6,968.4,1018.7,1020.0,,,1.6,166,0.7,2.5,5.8,1.5,5.4,,,0.0,,374,,,,139,59,0.211,2025-06-01 07:00:00,2025,6,June
MAH,01.06.2025 08:00,20.7,19.7,21.4,,,74.3,18.1,15.9,968.1,1017.9,1019.7,,,3.1,127,1.1,4.0,11.2,2.8,10.1,,,0.0,,523,,,,186,60,0.324,2025-06-01 08:00:00,2025,6,June
MAH,01.06.2025 09:00,22.6,21.9,23.3,,,68.0,18.6,16.4,967.6,1017.1,1019.2,,,4.0,215,1.6,5.8,14.4,3.6,13.0,,,0.0,,709,,,,187,60,0.461,2025-06-01 09:00:00,2025,6,June
